Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,32.930000,32.930000,32.930000,32.930000,31.322174,0
2019-09-17,32.919998,32.919998,32.919998,32.919998,31.312660,0
2019-09-18,32.880001,32.880001,32.880001,32.880001,31.274616,0
2019-09-19,32.790001,32.790001,32.790001,32.790001,31.189011,0
2019-09-20,32.669998,32.669998,32.669998,32.669998,31.074865,0
2019-09-23,32.689999,32.689999,32.689999,32.689999,31.093891,0
2019-09-24,32.430000,32.430000,32.430000,32.430000,30.846588,0
2019-09-25,32.610001,32.610001,32.610001,32.610001,31.017797,0
2019-09-26,32.540001,32.540001,32.540001,32.540001,30.951218,0
2019-09-27,32.410000,32.410000,32.410000,32.410000,30.827564,0
2019-09-30,32.570000,32.570000,32.570000,32.570000,30.979750,0
2019-10-01,32.060001,32.060001,32.060001,32.060001,30.494654,0
2019-10-02,31.469999,31.469999,31.469999,31.469999,29.933458,0
2019-10-03,31.690001,31.690001,31.690001,31.690001,30.142717,0
2019-10-04,32.049999,32.049999,32.049999,32.049999,30.485140,0
2019-10-07,31.889999,31.889999,31.889999,31.889999,30.332952,0
2019-10-08,31.340000,31.340000,31.340000,31.340000,29.809807,0
2019-10-09,31.600000,31.600000,31.600000,31.600000,30.057114,0
2019-10-10,31.830000,31.830000,31.830000,31.830000,30.275883,0
2019-10-11,32.279999,32.279999,32.279999,32.279999,30.703911,0
2019-10-14,32.209999,32.209999,32.209999,32.209999,30.637329,0
2019-10-15,32.490002,32.490002,32.490002,32.490002,30.903658,0
2019-10-16,32.430000,32.430000,32.430000,32.430000,30.846588,0
2019-10-17,32.540001,32.540001,32.540001,32.540001,30.951218,0
2019-10-18,32.509998,32.509998,32.509998,32.509998,30.922678,0
2019-10-21,32.750000,32.750000,32.750000,32.750000,31.150965,0
2019-10-22,32.759998,32.759998,32.759998,32.759998,31.160475,0
2019-10-23,32.860001,32.860001,32.860001,32.860001,31.255594,0
2019-10-24,32.880001,32.880001,32.880001,32.880001,31.274616,0
2019-10-25,32.980000,32.980000,32.980000,32.980000,31.369732,0
2019-10-28,33.080002,33.080002,33.080002,33.080002,31.464848,0
2019-10-29,33.160000,33.160000,33.160000,33.160000,31.540947,0
2019-10-30,33.160000,33.160000,33.160000,33.160000,31.540947,0
2019-10-31,32.980000,32.980000,32.980000,32.980000,31.369732,0
2019-11-01,33.389999,33.389999,33.389999,33.389999,31.759712,0
2019-11-04,33.580002,33.580002,33.580002,33.580002,31.940439,0
2019-11-05,33.570000,33.570000,33.570000,33.570000,31.930927,0
2019-11-06,33.549999,33.549999,33.549999,33.549999,31.911901,0
2019-11-07,33.630001,33.630001,33.630001,33.630001,31.987999,0
2019-11-08,33.709999,33.709999,33.709999,33.709999,32.064087,0
2019-11-11,33.619999,33.619999,33.619999,33.619999,31.978483,0
2019-11-12,33.639999,33.639999,33.639999,33.639999,31.997507,0
2019-11-13,33.610001,33.610001,33.610001,33.610001,31.968971,0
2019-11-14,33.680000,33.680000,33.680000,33.680000,32.035557,0
2019-11-15,33.930000,33.930000,33.930000,33.930000,32.273346,0
2019-11-18,33.900002,33.900002,33.900002,33.900002,32.244812,0
2019-11-19,33.869999,33.869999,33.869999,33.869999,32.216278,0
2019-11-20,33.740002,33.740002,33.740002,33.740002,32.092628,0
2019-11-21,33.660000,33.660000,33.660000,33.660000,32.016533,0
2019-11-22,33.770000,33.770000,33.770000,33.770000,32.121162,0
2019-11-25,34.070000,34.070000,34.070000,34.070000,32.406517,0
2019-11-26,34.119999,34.119999,34.119999,34.119999,32.454071,0
2019-11-27,34.259998,34.259998,34.259998,34.259998,32.587234,0
2019-11-29,34.090000,34.090000,34.090000,34.090000,32.425537,0
2019-12-02,33.810001,33.810001,33.810001,33.810001,32.159206,0
